category_list,funding_total_usd,status,country_code,city,funding_rounds,first_funding_at,last_funding_at,founded_year,status_class,fail,operating,success
Cloud Computing|Communications Hardware|Customer Service|Hardware + Software,1300000.0,operating,FIN,Espoo,1,2012-12-01,2012-12-01,2009,operating,0,1,0
Manufacturing,10000000.0,operating,USA,San Francisco,2,2011-04-01,2011-09-01,2010,operating,0,1,0
Information Technology|Security|Software,32500000.0,operating,USA,Morristown,4,2011-08-08,2014-12-09,2004,operating,0,1,0
E-Commerce,52000000.0,operating,USA,New York,2,2012-11-30,2013-10-31,2010,operating,0,1,0
Credit Cards|Curated Web|Finance|Insurance|Real Estate Investors,79000000.0,operating,IND,Chennai,3,2011-03-18,2015-07-02,2008,operating,0,1,0
Enterprise Software,,operating,USA,San Francisco,1,2011-10-26,2011-10-26,2010,operating,0,1,0
Hardware + Software,35000000.0,acquired,USA,Irving,2,2002-03-11,2004-08-04,2012,success,0,0,1
Curated Web|Media|Mobile,,operating,USA,New York,1,2011-01-01,2011-01-01,2011,operating,0,1,0
Biotechnology,525000.0,operating,USA,Ann Arbor,1,2013-03-01,2013-03-01,2012,operating,0,1,0
E-Commerce|Travel & Tourism,,operating,IND,Noida,1,2014-07-26,2014-07-26,2013,operating,0,1,0
Android|iOS|iPad|iPhone|Mobile|Outsourcing,135000.0,operating,USA,Kenmore,1,2012-05-03,2012-05-03,2010,operating,0,1,0
Social Media,,operating,CHE,Basel,1,2015-10-05,2015-10-05,2012,operating,0,1,0
Design|Manufacturing|Semiconductors,30000000.0,operating,SGP,Singapore,1,2002-01-10,2002-01-10,2012,operating,0,1,0
Analytics|Software,65200000.0,operating,USA,San Mateo,3,2011-09-08,2014-03-19,2011,operating,0,1,0
Curated Web|E-Commerce|Subscription Service,,operating,USA,Los Angeles,1,2015-08-18,2015-08-18,2015,operating,0,1,0
Health Care,2500000.0,operating,USA,Montvale,1,2009-04-07,2009-04-07,2012,operating,0,1,0
Crowdsourcing|Public Safety|Social + Mobile + Local,1200000.0,operating,USA,Morgan Hill,1,2014-06-30,2014-06-30,2013,operating,0,1,0
Health and Wellness,2144487.0,operating,USA,Austin,1,2014-12-08,2014-12-08,2010,operating,0,1,0
Product Design|SaaS|Services,4000000.0,operating,USA,Austin,1,2015-04-13,2015-04-13,2012,operating,0,1,0
Advanced Materials|Advertising|Aerospace|Automotive|Displays|Hardware + Software|Wearables,137104.0,operating,FIN,Joensuu,2,2014-05-15,2015-06-23,2013,operating,0,1,0
Biotechnology,143922827.0,operating,USA,San Jose,6,2004-07-14,2013-08-26,2001,operating,0,1,0
Clean Technology,350000000.0,operating,CAN,Toronto,1,2008-02-08,2008-02-08,2012,operating,0,1,0
Clean Technology|Energy Efficiency,11482.0,closed,USA,Berkeley,2,2013-01-01,2014-01-01,2012,fail,1,0,0
Financial Services|FinTech,150000.0,operating,USA,San Diego,1,2014-09-08,2014-09-08,2013,operating,0,1,0
Manufacturing,,operating,USA,Burnet,1,2014-01-27,2014-01-27,2011,operating,0,1,0
Fashion,35000.0,operating,ESP,Barcelona,1,2014-04-17,2014-04-17,2014,operating,0,1,0
Travel & Tourism,25000.0,closed,USA,San Francisco,1,2014-02-06,2014-02-06,2012,fail,1,0,0
Finance|FinTech,13051777.0,operating,GBR,Macclesfield,1,2014-02-05,2014-02-05,2006,operating,0,1,0
Cloud Computing|Enterprise Software|Internet,,operating,USA,South Bend,1,2011-12-21,2011-12-21,2010,operating,0,1,0
Fashion,1000000.0,closed,USA,New York,1,2010-11-19,2010-11-19,2009,fail,1,0,0
Biotechnology,7745523.0,operating,USA,Rockville,3,2011-11-10,2014-06-17,2012,operating,0,1,0
Health and Wellness,500000.0,operating,USA,Houston,1,2009-08-12,2009-08-12,2006,operating,0,1,0
Education,12600000.0,operating,USA,Santa Clara,4,2010-10-08,2012-03-15,2001,operating,0,1,0
Advertising,6200000.0,operating,ISR,Or Yehuda,2,2007-08-19,2008-06-30,2012,operating,0,1,0
Collaboration|Digital Signage|Real Time,605000.0,operating,USA,Austin,1,2015-10-11,2015-10-11,2014,operating,0,1,0
Consumer Goods,1000000.0,operating,USA,Scottsdale,1,2015-05-19,2015-05-19,2012,operating,0,1,0
Education|Employment|Marketplaces|Startups,281426.0,operating,CAN,Calgary,1,2014-07-01,2014-07-01,2014,operating,0,1,0
Apps,300000.0,operating,USA,San Francisco,1,2015-06-01,2015-06-01,2012,operating,0,1,0
Analytics|Business Analytics|Business Intelligence|Software,7745454.0,operating,CAN,Ottawa,2,2014-02-16,2015-02-25,2001,operating,0,1,0
Blogging Platforms|Web Design|Web Hosting,1200000.0,operating,USA,Omaha,1,2014-09-05,2014-09-05,2012,operating,0,1,0
Biotechnology,2972866.0,operating,USA,Montgomery,4,2007-09-06,2012-08-01,2000,operating,0,1,0
